,Name,Pos,Active,HoF,All_Star,All_Nba,All_Def,Score_Champ,Assit_Champ,Trb_Champ,MVP,GP,PPG,TRPG,APG,BPG,SPG,3PG,TP,TR,TAST,TBLKS,TSTLS,T3PS,FG%,FT%,3P%,EF%,DRTG,ORTG,VORP,BPM,EFF,Win_Shares
0,Alaa Abdelnaby,4,0,0,0,0,0,0,0,0,0,256,5.7,3.3,0.3,0.3,0.3,0.0,1465,846.0,85,69,71,0,50.2,70.1,0.0,50.2,106,101,-2.3,-4.8,13.0,4.8
1,Zaid Abdul-Aziz,5,0,0,0,0,0,0,0,0,0,505,9.0,8.0,1.2,1.0,0.6,,4557,4065.0,601,205,131,,42.8,72.8,,,96,93,2.1,-0.1,15.1,17.5
2,Kareem Abdul-Jabbar,5,0,1,19,15,11,2,0,1,6,1560,24.6,11.2,3.6,2.6,0.9,0.0,38387,17440.0,5660,3189,1160,1,55.9,72.1,5.6,55.9,99,115,86.0,5.8,24.6,273.4
3,Mahmoud Abdul-Rauf,1,0,0,0,0,0,0,0,0,0,586,14.6,1.9,3.5,0.1,0.8,0.8,8553,1087.0,2079,46,487,474,44.2,90.5,35.4,47.2,111,106,-0.7,-2.2,15.4,25.2
4,Tariq Abdul-Wahad,2,0,0,0,0,0,0,0,0,0,236,7.8,3.3,1.1,0.4,0.8,0.1,1830,776.0,266,83,184,18,41.7,70.3,23.7,42.2,105,95,-1.5,-3.2,11.4,3.5
5,Shareef Abdur-Rahim,3,0,0,1,0,0,0,0,0,0,830,18.1,7.5,2.5,0.8,1.0,0.2,15028,6239.0,2109,638,820,154,47.2,81.0,29.7,47.9,107,108,21.1,0.9,19.0,71.2
6,Tom Abernethy,3,0,0,0,0,0,0,0,0,0,319,5.6,3.2,1.2,0.2,0.6,0.0,1779,1011.0,384,60,185,0,49.2,74.7,0.0,49.2,103,114,2.5,-0.2,12.9,13.4
7,Forest Able,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,,,,0,1.0,1,,,,0.0,,,,,,,,-41.1,0.0
8,John Abramovic,4,0,0,0,0,0,0,0,0,0,56,9.5,,0.7,,,,533,,37,,,,23.7,68.6,,,,,,,,-1.9
9,Alex Abrines,2,1,0,0,0,0,0,0,0,0,172,5.4,1.4,0.5,0.1,0.5,1.3,921,247.0,88,22,92,218,38.7,88.0,36.8,52.6,110,112,-0.3,-2.4,8.9,5.2
10,Alex Acker,2,0,0,0,0,0,0,0,0,0,30,2.7,1.0,0.5,0.1,0.2,0.3,81,29.0,16,4,6,8,37.0,50.0,32.0,41.3,112,88,-0.3,-6.9,8.5,-0.2
11,Don Ackerman,1,0,0,0,0,0,0,0,0,0,28,1.5,0.5,0.8,,,,43,15.0,23,,,,22.2,53.6,,,,,,,1.0,-0.6
12,Mark Acres,5,0,0,0,0,0,0,0,0,0,375,3.6,4.1,0.5,0.3,0.4,0.0,1343,1525.0,180,104,137,7,50.6,66.5,53.8,50.9,111,113,0.0,-2.0,9.0,9.3
13,Bud Acton,3,0,0,0,0,0,0,0,0,0,23,3.3,2.0,0.5,,,,77,47.0,11,,,,39.2,65.5,,,,,,,9.5,0.1
14,Quincy Acy,3,0,0,0,0,0,0,0,0,0,327,5.0,3.5,0.6,0.4,0.4,0.6,1625,1154.0,209,131,139,181,44.7,76.1,35.6,51.7,109,109,0.4,-1.7,11.4,8.8
15,Alvan Adams,4,0,0,1,0,0,0,0,0,0,988,14.1,7.0,4.1,0.8,1.3,0.0,13910,6937.0,4012,808,1289,2,49.8,78.8,13.3,49.8,100,105,39.3,3.7,18.3,73.5
16,Don Adams,3,0,0,0,0,0,0,0,0,0,523,8.8,5.6,1.9,0.2,1.1,0.0,4598,2916.0,1011,64,334,0,40.2,74.1,0.0,40.2,99,98,0.3,-1.8,10.7,11.7
17,George Adams,3,0,0,0,0,0,0,0,0,0,215,7.7,4.1,1.5,0.4,0.6,0.0,1652,873.0,317,59,88,4,49.7,79.4,23.5,49.9,107,103,0.8,-0.9,14.0,6.6
18,Hassan Adams,2,0,0,0,0,0,0,0,0,0,73,2.5,1.2,0.2,0.1,0.2,0.0,185,84.0,14,5,18,0,53.4,64.3,0.0,53.4,108,104,-0.3,-4.4,11.8,0.8
19,Jaylen Adams,1,1,0,0,0,0,0,0,0,0,8,0.8,0.4,0.5,0.1,0.1,0.3,6,3.0,4,1,1,2,33.3,,40.0,50.0,113,107,0.0,-3.9,10.4,0.0
20,Jordan Adams,2,0,0,0,0,0,0,0,0,0,32,3.2,0.9,0.6,0.2,0.6,0.3,101,30.0,19,7,19,10,40.2,60.7,38.5,45.7,100,95,0.1,-0.5,13.1,0.4
21,Michael Adams,1,0,0,1,0,0,0,0,0,0,653,14.7,2.9,6.4,0.1,1.7,1.5,9621,1900.0,4209,67,1081,949,41.5,84.9,33.2,47.5,110,112,18.0,1.5,16.6,46.9
22,Steven Adams,5,1,0,0,0,0,0,0,0,0,419,9.3,7.2,0.9,1.0,0.8,0.0,3914,3002.0,395,415,345,0,58.7,56.5,0.0,58.7,105,118,10.1,1.7,16.7,34.2
23,Rafael Addison,3,0,0,0,0,0,0,0,0,0,379,5.8,2.1,0.9,0.2,0.4,0.2,2186,780.0,339,83,148,69,44.9,77.2,28.2,46.6,112,102,-3.0,-4.1,10.5,4.9
24,Bam Adebayo,5,1,0,0,0,0,0,0,0,0,102,7.1,6.0,1.6,0.7,0.5,0.0,722,611.0,164,70,54,1,51.5,71.5,8.3,51.6,105,116,1.5,0.9,16.1,6.4
25,Rick Adelman,1,0,0,0,0,0,0,0,0,0,462,7.7,2.4,3.5,0.1,0.9,,3579,1129.0,1606,9,106,,41.5,71.3,,,96,,-0.2,-2.5,11.3,10.0
